Date,1982,1997,Average Year,2014,1976
1,0.00,0.00,0.03,0.00,0.02
2,0.00,0.06,0.07,0.00,0.02
3,0.00,0.06,0.10,0.00,0.02
4,0.00,0.06,0.13,0.00,0.02
5,0.00,0.06,0.17,0.00,0.02
6,0.01,0.06,0.20,0.00,0.02
7,0.01,0.06,0.23,0.00,0.02
8,0.01,0.35,0.27,0.00,0.02
9,0.01,0.82,0.30,0.00,0.02
10,0.01,0.82,0.33,0.00,0.02
11,0.01,0.82,0.37,0.00,0.02
12,0.01,0.82,0.40,0.00,0.02
13,0.01,0.82,0.43,0.00,0.02
14,0.01,0.82,0.47,0.00,0.02
15,0.01,0.82,0.50,0.01,0.02
16,0.01,0.82,0.53,0.01,0.02
17,0.01,0.82,0.56,0.01,0.02
18,0.01,0.82,0.60,0.01,0.02
19,0.01,0.82,0.63,0.01,0.02
20,0.01,0.82,0.66,0.01,0.02
21,0.01,0.82,0.70,0.01,0.02
22,0.02,0.82,0.73,0.01,0.02
23,0.05,0.82,0.76,0.01,0.02
24,0.07,0.82,0.80,0.01,0.02
25,1.40,0.82,0.83,0.19,0.02
26,1.40,0.82,0.86,0.19,0.02
27,1.40,0.82,0.90,0.19,0.02
28,1.40,0.82,0.93,0.19,0.02
29,2.07,0.82,0.96,0.19,0.02
30,2.61,0.82,1.00,0.19,0.02
31,2.61,0.82,1.03,0.60,0.02
32,2.61,0.82,1.12,0.60,0.02
33,2.61,0.82,1.20,0.60,0.02
34,2.61,0.82,1.29,0.60,0.02
35,2.61,0.82,1.38,0.60,0.02
36,2.61,0.82,1.47,0.60,0.02
37,2.61,0.82,1.55,0.60,0.02
38,2.61,0.82,1.64,0.60,0.02
39,2.65,0.82,1.73,0.60,0.02
40,2.92,0.82,1.81,0.60,0.02
41,3.12,1.74,1.90,0.60,0.05
42,3.12,1.75,1.99,0.60,0.05
43,3.12,1.75,2.07,0.60,0.27
44,3.12,1.89,2.16,0.85,0.57
45,3.12,2.17,2.25,0.85,0.57
46,3.12,2.44,2.34,0.85,0.57
47,3.12,2.44,2.42,0.85,0.57
48,3.86,2.44,2.51,0.85,0.57
49,5.62,2.47,2.60,0.85,0.57
50,5.66,2.61,2.68,0.96,0.57
51,5.66,2.61,2.77,1.08,0.57
52,5.68,2.61,2.86,1.08,0.57
53,6.33,2.61,2.94,1.18,0.57
54,6.46,2.61,3.03,1.18,0.57
55,6.46,2.68,3.12,1.18,0.57
56,6.46,3.14,3.21,1.18,0.57
57,6.46,4.66,3.29,1.24,0.57
58,6.50,4.84,3.38,1.24,0.57
59,6.83,4.84,3.47,1.26,0.57
60,7.76,4.84,3.55,1.29,0.57
61,8.35,5.38,3.64,1.31,0.57
62,8.35,5.38,3.75,1.32,0.57
63,8.39,5.38,3.87,1.34,0.57
64,8.39,5.38,3.98,1.36,0.57
65,8.39,5.38,4.09,1.38,0.57
66,8.39,5.70,4.20,1.39,0.57
67,8.39,5.81,4.32,1.41,0.57
68,8.39,7.27,4.43,1.42,0.57
69,8.39,7.27,4.54,1.55,0.57
